Xpositon	Ypositon	Counts
0.117949	-0.015385	13540.000000000
0.107692	-0.015385	14210.000000000
0.097436	-0.015385	13700.000000000
0.087179	-0.015385	14520.000000000
0.076923	-0.015385	13610.000000000
0.066667	-0.015385	15220.000000000
0.056410	-0.015385	15180.000000000
0.046154	-0.015385	14480.000000000
0.035897	-0.015385	14420.000000000
0.025641	-0.015385	14420.000000000
0.015385	-0.015385	13910.000000000
0.005128	-0.015385	13920.000000000
-0.005128	-0.015385	13610.000000000
-0.015385	-0.015385	12270.000000000
-0.025641	-0.015385	11780.000000000
-0.035897	-0.015385	11650.000000000
-0.046154	-0.015385	11330.000000000
-0.056410	-0.015385	11480.000000000
-0.066667	-0.015385	11040.000000000
-0.076923	-0.015385	12040.000000000
-0.087179	-0.015385	11760.000000000
-0.097436	-0.015385	11920.000000000
-0.107692	-0.015385	10960.000000000
